epoch,mode_dist,step,train_loss,val_ade,val_fde,val_nll,val_tv_ade,val_tv_fde
0,47.67664337158203,48,,2.8586297035217285,7.417956352233887,221.5670623779297,4.297854423522949,11.518789291381836
0,,48,84.02783203125,,,,,
1,120.37976837158203,97,,2.6514642238616943,6.872788429260254,175.2914581298828,4.1362080574035645,11.094741821289062
1,,97,60.472389221191406,,,,,
2,163.85916137695312,146,,2.526489496231079,6.55479097366333,154.75692749023438,3.980160713195801,10.668183326721191
2,,146,63.66477584838867,,,,,
3,185.32579040527344,195,,2.444243907928467,6.3502607345581055,139.36123657226562,3.81247615814209,10.198664665222168
3,,195,54.86272430419922,,,,,
4,185.55044555664062,244,,2.3288824558258057,6.040539264678955,126.72222900390625,3.6161930561065674,9.657645225524902
4,,244,44.97232437133789,,,,,
5,189.6433868408203,293,,2.232881784439087,5.781769275665283,118.61101531982422,3.479016065597534,9.275938987731934
5,,293,41.24248504638672,,,,,
6,185.5091094970703,342,,2.152188777923584,5.570611476898193,112.97346496582031,3.3627827167510986,8.953679084777832
6,,342,41.40517807006836,,,,,
7,193.9693603515625,391,,2.0913166999816895,5.414219379425049,106.51154327392578,3.2915256023406982,8.749107360839844
7,,391,39.92372512817383,,,,,
8,203.48150634765625,440,,2.0104427337646484,5.189657211303711,101.40229797363281,3.214350700378418,8.537041664123535
8,,440,38.94500732421875,,,,,
9,205.25502014160156,489,,1.908100962638855,4.905318737030029,96.42875671386719,3.1355178356170654,8.329081535339355
9,,489,39.74018859863281,,,,,
10,229.38902282714844,538,,1.8791990280151367,4.839682102203369,90.57281494140625,3.0882997512817383,8.223370552062988
10,,538,30.051050186157227,,,,,
11,230.90652465820312,587,,1.8152400255203247,4.666749954223633,86.5566177368164,2.964160442352295,7.899924278259277
11,,587,30.671825408935547,,,,,
12,233.83078002929688,636,,1.7830318212509155,4.5932817459106445,82.99860382080078,2.903061628341675,7.770936489105225
12,,636,28.0162410736084,,,,,
13,271.73138427734375,685,,1.8211911916732788,4.719583511352539,77.85513305664062,2.9251112937927246,7.844998359680176
13,,685,24.27939224243164,,,,,
14,290.7125244140625,734,,1.825798749923706,4.754478454589844,74.80348205566406,2.89683198928833,7.773919105529785
14,,734,20.351045608520508,,,,,
15,305.0516052246094,783,,1.853363037109375,4.848447799682617,72.09049224853516,2.889737606048584,7.7477335929870605
15,,783,24.90064239501953,,,,,
16,350.165283203125,832,,1.90175199508667,5.000865936279297,68.26778411865234,2.971750020980835,7.985856056213379
16,,832,21.13252067565918,,,,,
17,363.0530700683594,881,,1.8880774974822998,4.95796012878418,66.39755249023438,2.919097900390625,7.82110595703125
17,,881,15.482995986938477,,,,,
18,365.5545654296875,930,,1.9006681442260742,4.993820667266846,65.29461669921875,2.947765350341797,7.931477069854736
18,,930,17.768295288085938,,,,,
19,406.8341064453125,979,,1.9481425285339355,5.139625549316406,63.142906188964844,3.006640911102295,8.108180046081543
19,,979,15.051130294799805,,,,,
20,420.676513671875,1028,,1.9804881811141968,5.2237162590026855,61.752315521240234,3.048389434814453,8.206068992614746
20,,1028,12.921628952026367,,,,,
21,430.1731262207031,1077,,1.9530212879180908,5.132310390472412,60.5282096862793,3.0112555027008057,8.09696102142334
21,,1077,14.68789291381836,,,,,
22,430.3115234375,1126,,1.9395838975906372,5.1011199951171875,59.957523345947266,2.9544177055358887,7.945776462554932
22,,1126,11.435933113098145,,,,,
23,435.1304931640625,1175,,1.932823896408081,5.07859992980957,58.7856330871582,2.9964890480041504,8.060165405273438
23,,1175,12.481621742248535,,,,,
24,436.1947937011719,1224,,1.9018458127975464,4.990166664123535,58.08256530761719,2.9659643173217773,7.969749927520752
24,,1224,10.670248031616211,,,,,
25,435.7178039550781,1273,,1.893629550933838,4.9731903076171875,57.29698181152344,2.9379312992095947,7.904993057250977
25,,1273,11.586747169494629,,,,,
26,458.2461853027344,1322,,1.622717261314392,4.13994836807251,46.28875732421875,2.76002836227417,7.383533477783203
26,,1322,14.18726921081543,,,,,
27,463.57513427734375,1371,,1.5761675834655762,3.9957950115203857,40.24441909790039,2.7595603466033936,7.390599250793457
27,,1371,14.105862617492676,,,,,
28,481.9968566894531,1420,,1.5547127723693848,3.9514029026031494,37.60595703125,2.7081196308135986,7.250421524047852
28,,1420,12.296225547790527,,,,,
29,482.3557434082031,1469,,1.49843430519104,3.808212995529175,34.475765228271484,2.6015031337738037,6.975468635559082
29,,1469,14.311887741088867,,,,,
30,488.7285461425781,1518,,1.469696283340454,3.734125852584839,32.8902473449707,2.5432140827178955,6.836348056793213
30,,1518,11.955852508544922,,,,,
31,490.4250793457031,1567,,1.4342238903045654,3.653574228286743,30.363025665283203,2.478886365890503,6.70449686050415
31,,1567,9.60908031463623,,,,,
32,499.2469177246094,1616,,1.388028860092163,3.546264410018921,28.953866958618164,2.4052863121032715,6.551795482635498
32,,1616,7.504266262054443,,,,,
33,502.0712585449219,1665,,1.3704490661621094,3.526432514190674,27.459135055541992,2.3382019996643066,6.436586856842041
33,,1665,6.810052871704102,,,,,
34,506.3461608886719,1714,,1.3446866273880005,3.482269763946533,26.132593154907227,2.2870118618011475,6.364334583282471
34,,1714,8.134878158569336,,,,,
35,516.4425659179688,1763,,1.3281607627868652,3.46464204788208,24.79422378540039,2.2356743812561035,6.264331817626953
35,,1763,2.1406054496765137,,,,,
36,515.6192626953125,1812,,1.3023388385772705,3.401505470275879,24.233234405517578,2.1703078746795654,6.106747627258301
36,,1812,5.682973384857178,,,,,
37,519.7724609375,1861,,1.2932144403457642,3.3851091861724854,23.165796279907227,2.1551356315612793,6.085789680480957
37,,1861,2.357778310775757,,,,,
38,513.8410034179688,1910,,1.269730806350708,3.331122636795044,22.371557235717773,2.119920253753662,6.0005083084106445
38,,1910,3.099653720855713,,,,,
39,519.4188232421875,1959,,1.2670528888702393,3.331798553466797,21.618974685668945,2.0898563861846924,5.929434299468994
39,,1959,-0.49749690294265747,,,,,
40,520.6535034179688,2008,,1.2562932968139648,3.3059566020965576,21.273193359375,2.0704689025878906,5.874873161315918
40,,2008,-4.524057388305664,,,,,
41,519.7890625,2057,,1.2519844770431519,3.296703338623047,20.71091651916504,2.0582597255706787,5.857832431793213
41,,2057,-4.884520053863525,,,,,
42,521.8507080078125,2106,,1.2396650314331055,3.266401767730713,20.144746780395508,2.0339367389678955,5.798831462860107
42,,2106,-3.4843597412109375,,,,,
43,516.4765014648438,2155,,1.2303797006607056,3.249377489089966,19.608339309692383,2.016961097717285,5.767923355102539
43,,2155,-6.2807512283325195,,,,,
44,518.2290649414062,2204,,1.2226930856704712,3.2304062843322754,19.388696670532227,2.0020511150360107,5.7237067222595215
44,,2204,-7.869439125061035,,,,,
45,518.615478515625,2253,,1.2142635583877563,3.213059425354004,18.525781631469727,1.9766258001327515,5.6714558601379395
45,,2253,-6.274006366729736,,,,,
46,518.3556518554688,2302,,1.207069754600525,3.2004592418670654,18.05453109741211,1.9713895320892334,5.678689479827881
46,,2302,-9.397124290466309,,,,,
47,519.146728515625,2351,,1.2017521858215332,3.188861131668091,17.702266693115234,1.9692308902740479,5.672248363494873
47,,2351,-12.471144676208496,,,,,
48,511.86419677734375,2400,,1.196229338645935,3.177528142929077,17.196500778198242,1.9653239250183105,5.671450138092041
48,,2400,-17.765275955200195,,,,,
49,509.26641845703125,2449,,1.1902759075164795,3.1633923053741455,17.158052444458008,1.9576524496078491,5.659888744354248
49,,2449,-19.53095245361328,,,,,
50,515.45947265625,2498,,1.1894043684005737,3.166692018508911,16.75265884399414,1.9562360048294067,5.6720781326293945
50,,2498,-17.82308006286621,,,,,
51,508.3129577636719,2547,,1.1900652647018433,3.170393228530884,16.31365203857422,1.9527945518493652,5.668148517608643
51,,2547,-14.304585456848145,,,,,
52,508.8716735839844,2596,,1.1797624826431274,3.1436264514923096,15.86232852935791,1.9455757141113281,5.643637657165527
52,,2596,-14.616530418395996,,,,,
53,507.1178283691406,2645,,1.1825087070465088,3.155794143676758,15.575098991394043,1.9462960958480835,5.652760982513428
53,,2645,-15.360074996948242,,,,,
54,509.02655029296875,2694,,1.1779117584228516,3.148188829421997,15.284392356872559,1.9397614002227783,5.6347503662109375
54,,2694,-21.182693481445312,,,,,
55,504.3692626953125,2743,,1.1721841096878052,3.133662462234497,14.896795272827148,1.9317901134490967,5.611949920654297
55,,2743,-22.00487518310547,,,,,
56,507.8545227050781,2792,,1.1670111417770386,3.1191341876983643,14.795195579528809,1.914352297782898,5.564877510070801
56,,2792,-26.01826286315918,,,,,
