epoch,mode_dist,step,train_loss,val_ade,val_fde,val_nll,val_tv_ade,val_tv_fde
0,44.8181266784668,48,,2.7740731239318848,7.282135963439941,196.75428771972656,4.197681427001953,11.364933013916016
0,,48,82.285888671875,,,,,
1,112.11166381835938,97,,2.5816898345947266,6.762678146362305,159.1868896484375,4.046149730682373,10.95608901977539
1,,97,59.56749725341797,,,,,
2,150.3910675048828,146,,2.4596750736236572,6.444126605987549,144.0803985595703,3.9037978649139404,10.55752944946289
2,,146,63.05327606201172,,,,,
3,174.77801513671875,195,,2.3885819911956787,6.262284278869629,132.21661376953125,3.7522430419921875,10.120990753173828
3,,195,54.59855270385742,,,,,
4,176.0797576904297,244,,2.2776052951812744,5.9537672996521,122.51578521728516,3.5649633407592773,9.588201522827148
4,,244,44.84235763549805,,,,,
5,178.31004333496094,293,,2.1806087493896484,5.684106349945068,116.35867309570312,3.4272608757019043,9.193737030029297
5,,293,41.167335510253906,,,,,
6,176.64071655273438,342,,2.1189186573028564,5.523905277252197,112.33307647705078,3.322861909866333,8.900711059570312
6,,342,41.39839172363281,,,,,
7,185.38392639160156,391,,2.0692596435546875,5.391639232635498,107.57202911376953,3.2606873512268066,8.718530654907227
7,,391,40.031219482421875,,,,,
8,194.105712890625,440,,2.0005409717559814,5.196926593780518,103.55550384521484,3.1828408241271973,8.497039794921875
8,,440,39.09978103637695,,,,,
9,197.3174285888672,489,,1.913106083869934,4.9478373527526855,99.32685089111328,3.101262331008911,8.267285346984863
9,,489,39.90851974487305,,,,,
10,220.170166015625,538,,1.892532467842102,4.90876579284668,94.55247497558594,3.0904123783111572,8.2719144821167
10,,538,30.237010955810547,,,,,
11,224.20272827148438,587,,1.8576674461364746,4.824578285217285,91.53095245361328,3.0452983379364014,8.185220718383789
11,,587,30.80466079711914,,,,,
12,229.22987365722656,636,,1.8172671794891357,4.71419620513916,89.04374694824219,3.002676486968994,8.088288307189941
12,,636,28.06145477294922,,,,,
13,259.5644226074219,685,,1.8312110900878906,4.764068126678467,84.15728759765625,3.024423599243164,8.176778793334961
13,,685,24.687042236328125,,,,,
14,277.9677734375,734,,1.8292242288589478,4.763490676879883,81.41124725341797,3.02074933052063,8.175161361694336
14,,734,20.628490447998047,,,,,
15,293.44708251953125,783,,1.8593910932540894,4.8620123863220215,79.38314056396484,3.0297789573669434,8.208108901977539
15,,783,25.18307876586914,,,,,
16,330.6800842285156,832,,1.879738450050354,4.937553882598877,75.67718505859375,3.032071828842163,8.215928077697754
16,,832,21.497827529907227,,,,,
17,336.4486999511719,881,,1.8310723304748535,4.789043426513672,73.91783905029297,2.946007251739502,7.9629645347595215
17,,881,15.700642585754395,,,,,
18,341.3006591796875,930,,1.8502790927886963,4.853409290313721,72.8585433959961,2.962758779525757,8.00411319732666
18,,930,17.962722778320312,,,,,
19,368.41754150390625,979,,1.8746674060821533,4.917430400848389,71.18457794189453,2.9833984375,8.054755210876465
19,,979,15.33576774597168,,,,,
20,378.131591796875,1028,,1.860954761505127,4.872744083404541,69.8969497680664,2.9816272258758545,8.0430269241333
20,,1028,13.100218772888184,,,,,
21,386.3905334472656,1077,,1.867454171180725,4.888129234313965,68.60064697265625,2.983992099761963,8.047664642333984
21,,1077,14.834729194641113,,,,,
22,383.9630126953125,1126,,1.8643864393234253,4.892608165740967,67.87239837646484,2.9615445137023926,7.984231948852539
22,,1126,11.500238418579102,,,,,
23,378.4052734375,1175,,1.851135492324829,4.8518266677856445,67.2914810180664,2.943680763244629,7.9382171630859375
23,,1175,12.528260231018066,,,,,
24,381.67938232421875,1224,,1.8486502170562744,4.853516101837158,66.5427017211914,2.951366424560547,7.966961860656738
24,,1224,10.737686157226562,,,,,
25,379.34832763671875,1273,,1.8351491689682007,4.806317329406738,65.89339447021484,2.9455630779266357,7.941579818725586
25,,1273,11.684674263000488,,,,,
26,322.2855224609375,1322,,1.6494210958480835,4.233318328857422,53.36284637451172,2.7989823818206787,7.518487453460693
26,,1322,15.000442504882812,,,,,
27,282.630859375,1371,,1.607647180557251,4.11799430847168,49.216102600097656,2.7792351245880127,7.483247756958008
27,,1371,15.657039642333984,,,,,
28,273.18756103515625,1420,,1.5700016021728516,4.0097246170043945,47.21108627319336,2.7355480194091797,7.365372657775879
28,,1420,14.828522682189941,,,,,
29,282.5984191894531,1469,,1.5331016778945923,3.9166266918182373,45.14360427856445,2.6279854774475098,7.166743278503418
29,,1469,18.045515060424805,,,,,
30,283.0339660644531,1518,,1.5381325483322144,3.936711311340332,43.98740768432617,2.6587412357330322,7.276984214782715
30,,1518,16.548507690429688,,,,,
31,282.6455078125,1567,,1.524613857269287,3.9084157943725586,42.724998474121094,2.641361713409424,7.243786811828613
31,,1567,14.789655685424805,,,,,
32,272.5138854980469,1616,,1.489982008934021,3.809929609298706,41.91688919067383,2.54028058052063,6.975583553314209
32,,1616,13.529650688171387,,,,,
33,262.0910339355469,1665,,1.4628347158432007,3.7347424030303955,40.86650848388672,2.4611599445343018,6.756673336029053
33,,1665,13.891657829284668,,,,,
34,247.56793212890625,1714,,1.4342961311340332,3.6443893909454346,40.0682258605957,2.424480676651001,6.635288238525391
34,,1714,16.571191787719727,,,,,
35,237.09059143066406,1763,,1.4313279390335083,3.6384711265563965,39.41421127319336,2.4197592735290527,6.611021995544434
35,,1763,10.463689804077148,,,,,
36,225.76864624023438,1812,,1.4175050258636475,3.5900895595550537,39.018653869628906,2.3821258544921875,6.4856953620910645
36,,1812,15.85568618774414,,,,,
