epoch,mode_dist,step,train_loss,val_ade,val_fde,val_nll,val_tv_ade,val_tv_fde
59,593.7789916992188,2939,,1.154950737953186,3.1244428157806396,12.564268112182617,1.9110099077224731,5.634812355041504
59,,2939,-16.27318000793457,,,,,
60,576.3871459960938,2988,,1.1481212377548218,3.1070480346679688,12.08460807800293,1.8942270278930664,5.578612804412842
60,,2988,-24.016437530517578,,,,,
61,581.5521850585938,3037,,1.147133231163025,3.106274366378784,11.684444427490234,1.8897396326065063,5.573872089385986
61,,3037,-19.3084659576416,,,,,
62,577.2360229492188,3086,,1.144647479057312,3.098886251449585,11.771585464477539,1.8864794969558716,5.562680721282959
62,,3086,-30.033634185791016,,,,,
63,564.3353881835938,3135,,1.1386630535125732,3.0840113162994385,11.233879089355469,1.8661911487579346,5.51433801651001
63,,3135,-18.031591415405273,,,,,
64,564.0794067382812,3184,,1.137558102607727,3.082824468612671,10.957707405090332,1.8644741773605347,5.508209228515625
64,,3184,-23.961671829223633,,,,,
65,558.6024780273438,3233,,1.1311763525009155,3.0655429363250732,10.558064460754395,1.8573570251464844,5.49106502532959
65,,3233,-22.52488136291504,,,,,
66,563.2390747070312,3282,,1.133599042892456,3.077515125274658,10.349629402160645,1.8587524890899658,5.504371643066406
66,,3282,-21.249711990356445,,,,,
67,554.4120483398438,3331,,1.1283180713653564,3.0633926391601562,10.118369102478027,1.8531494140625,5.486985206604004
67,,3331,-21.457141876220703,,,,,
68,553.5478515625,3380,,1.1249980926513672,3.0559334754943848,9.8992919921875,1.8501442670822144,5.4824090003967285
68,,3380,-21.662322998046875,,,,,
69,548.0015258789062,3429,,1.1209245920181274,3.0453670024871826,9.52152156829834,1.8424893617630005,5.457513809204102
69,,3429,-29.275474548339844,,,,,
70,548.2880249023438,3478,,1.1193480491638184,3.0416018962860107,9.376083374023438,1.8383177518844604,5.456618785858154
70,,3478,-24.499019622802734,,,,,
71,544.5416870117188,3527,,1.117659091949463,3.0423033237457275,9.059313774108887,1.8330479860305786,5.438326358795166
71,,3527,-17.787954330444336,,,,,
72,534.7749633789062,3576,,1.1138955354690552,3.0295472145080566,8.925527572631836,1.821012020111084,5.40437650680542
72,,3576,-21.937427520751953,,,,,
73,535.7734375,3625,,1.113162875175476,3.028111696243286,8.379981994628906,1.8279645442962646,5.423675537109375
73,,3625,-20.410884857177734,,,,,
74,533.413818359375,3674,,1.1117767095565796,3.023955821990967,8.2902250289917,1.8215206861495972,5.410102367401123
74,,3674,-20.499286651611328,,,,,
75,533.5180053710938,3723,,1.1107726097106934,3.02603816986084,8.113692283630371,1.8206334114074707,5.414911270141602
75,,3723,-19.123626708984375,,,,,
76,535.7094116210938,3772,,1.1100229024887085,3.0268192291259766,7.920799255371094,1.814815640449524,5.394567489624023
76,,3772,-24.522850036621094,,,,,
77,533.4791870117188,3821,,1.1048519611358643,3.0153520107269287,7.498600006103516,1.8132834434509277,5.3973307609558105
77,,3821,-23.18350601196289,,,,,
78,528.9888916015625,3870,,1.1045880317687988,3.011979341506958,7.356888294219971,1.8090134859085083,5.380958080291748
78,,3870,-21.699865341186523,,,,,
79,523.4951782226562,3919,,1.101304531097412,3.007114887237549,7.059034824371338,1.8040612936019897,5.3775315284729
79,,3919,-27.136306762695312,,,,,
80,522.91064453125,3968,,1.0988651514053345,3.0022318363189697,7.096950054168701,1.8039276599884033,5.383334636688232
80,,3968,-27.32510757446289,,,,,
81,527.3812255859375,4017,,1.102994441986084,3.0158677101135254,6.948711395263672,1.8080064058303833,5.388405799865723
81,,4017,-21.00452995300293,,,,,
82,531.0324096679688,4066,,1.097155213356018,3.000119924545288,6.523963451385498,1.7984784841537476,5.36085844039917
82,,4066,-24.620967864990234,,,,,
83,523.370849609375,4115,,1.0922942161560059,2.9822256565093994,6.435554027557373,1.7943464517593384,5.351065635681152
83,,4115,-23.211746215820312,,,,,
84,520.2437133789062,4164,,1.09243643283844,2.9868061542510986,6.066876411437988,1.7893458604812622,5.340824127197266
84,,4164,-21.769237518310547,,,,,
85,521.0859375,4213,,1.0896581411361694,2.9769327640533447,6.138642311096191,1.7826513051986694,5.320037364959717
85,,4213,-22.05225944519043,,,,,
86,518.5792846679688,4262,,1.088361382484436,2.9781322479248047,6.060435771942139,1.7832632064819336,5.328710079193115
86,,4262,-23.915172576904297,,,,,
87,518.3306274414062,4311,,1.086847186088562,2.9767141342163086,5.708376884460449,1.7795802354812622,5.314990520477295
87,,4311,-22.614765167236328,,,,,
88,514.2215576171875,4360,,1.0846736431121826,2.970409393310547,5.410370349884033,1.7718807458877563,5.293717861175537
88,,4360,-27.831037521362305,,,,,
89,510.9794006347656,4409,,1.0846766233444214,2.9689345359802246,5.632043838500977,1.773566484451294,5.29923677444458
89,,4409,-23.21834945678711,,,,,
90,518.6597900390625,4458,,1.0818146467208862,2.964259147644043,5.3051605224609375,1.759121298789978,5.266855716705322
90,,4458,-23.185564041137695,,,,,
91,509.6564025878906,4507,,1.0795369148254395,2.955496072769165,5.249802589416504,1.7646349668502808,5.283501148223877
91,,4507,-23.5347843170166,,,,,
92,510.61260986328125,4556,,1.080207109451294,2.9612226486206055,5.056356906890869,1.7578235864639282,5.264336585998535
92,,4556,-27.056716918945312,,,,,
93,509.68109130859375,4605,,1.0774933099746704,2.9536852836608887,4.795472145080566,1.7545582056045532,5.261341094970703
93,,4605,-23.94048309326172,,,,,
94,504.79486083984375,4654,,1.076527714729309,2.950312852859497,4.701951503753662,1.751248836517334,5.250491619110107
94,,4654,-27.485937118530273,,,,,
95,505.7812805175781,4703,,1.0777461528778076,2.9551525115966797,4.609393119812012,1.756656289100647,5.266366004943848
95,,4703,-24.43520164489746,,,,,
96,503.9978942871094,4752,,1.0750102996826172,2.949695348739624,4.450958728790283,1.7508734464645386,5.254415988922119
96,,4752,-26.18625259399414,,,,,
97,503.5674743652344,4801,,1.0722076892852783,2.942915678024292,4.232501029968262,1.7436935901641846,5.24031400680542
97,,4801,-24.857101440429688,,,,,
98,502.7903137207031,4850,,1.0708210468292236,2.939531087875366,4.217930316925049,1.736304759979248,5.218840599060059
98,,4850,-25.061805725097656,,,,,
99,506.2801818847656,4899,,1.067483901977539,2.9299027919769287,3.9490745067596436,1.7252684831619263,5.189061641693115
99,,4899,-25.27703857421875,,,,,
100,500.6934509277344,4948,,1.0678677558898926,2.9317619800567627,4.041146278381348,1.7294142246246338,5.203185081481934
100,,4948,-25.429975509643555,,,,,
101,501.16180419921875,4997,,1.0658951997756958,2.929518461227417,3.8009510040283203,1.7212257385253906,5.182971000671387
101,,4997,-25.66408348083496,,,,,
102,498.18365478515625,5046,,1.0639405250549316,2.9236702919006348,3.6032497882843018,1.720004677772522,5.181159973144531
102,,5046,-25.862323760986328,,,,,
103,496.2572937011719,5095,,1.0616534948349,2.915438652038574,3.6452505588531494,1.717007040977478,5.167086601257324
103,,5095,-26.09810447692871,,,,,
104,495.2206726074219,5144,,1.0613042116165161,2.91412091255188,3.2790417671203613,1.7229379415512085,5.1903815269470215
104,,5144,-26.35031509399414,,,,,
105,497.5925598144531,5193,,1.059491753578186,2.9126198291778564,3.3553645610809326,1.7129335403442383,5.1661810874938965
105,,5193,-26.52753257751465,,,,,
106,491.32171630859375,5242,,1.059095025062561,2.9109432697296143,3.208068370819092,1.7096099853515625,5.154577732086182
106,,5242,-26.68457794189453,,,,,
107,491.6104431152344,5291,,1.058354139328003,2.9111149311065674,3.1980385780334473,1.7145843505859375,5.1689252853393555
107,,5291,-26.79585838317871,,,,,
108,493.4531555175781,5340,,1.0568219423294067,2.906210422515869,2.9962377548217773,1.7096277475357056,5.159092903137207
108,,5340,-26.99646759033203,,,,,
109,490.8216552734375,5389,,1.0548336505889893,2.9037768840789795,2.804898262023926,1.7112795114517212,5.175292015075684
