epoch,mode_dist,step,train_loss,val_ade,val_fde,val_nll,val_tv_ade,val_tv_fde
0,91.08271789550781,48,,2.8457512855529785,7.379363536834717,239.79934692382812,4.299159526824951,11.52901840209961
0,,48,74.40519714355469,,,,,
1,125.01607513427734,97,,2.4491488933563232,6.276310443878174,189.2967529296875,3.9161031246185303,10.479366302490234
1,,97,62.00808334350586,,,,,
2,170.1252899169922,146,,2.24680233001709,5.775113582611084,154.76657104492188,3.6357076168060303,9.723271369934082
2,,146,58.699222564697266,,,,,
3,168.07846069335938,195,,2.0974326133728027,5.3606648445129395,137.0796356201172,3.4482247829437256,9.216428756713867
3,,195,43.728126525878906,,,,,
4,196.16200256347656,244,,2.0166282653808594,5.127705097198486,121.59463500976562,3.303858995437622,8.817341804504395
4,,244,52.078678131103516,,,,,
5,225.9633331298828,293,,1.929991602897644,4.888200759887695,110.0705337524414,3.1660022735595703,8.432513236999512
5,,293,43.31389236450195,,,,,
6,240.2275390625,342,,1.8425023555755615,4.656810283660889,101.37590026855469,3.0459158420562744,8.114246368408203
6,,342,44.31352615356445,,,,,
7,270.396728515625,391,,1.7904340028762817,4.535115718841553,94.84789276123047,2.9653797149658203,7.905055999755859
7,,391,38.59532928466797,,,,,
8,315.25396728515625,440,,1.7654571533203125,4.488543510437012,89.21135711669922,2.908413887023926,7.764421463012695
8,,440,36.37274932861328,,,,,
9,358.5594177246094,489,,1.7629388570785522,4.501940727233887,84.88921356201172,2.8685147762298584,7.669723033905029
9,,489,34.9037971496582,,,,,
10,411.93426513671875,538,,1.774257779121399,4.54537296295166,81.06925201416016,2.8667445182800293,7.682662010192871
10,,538,34.67406463623047,,,,,
11,476.3271789550781,587,,1.8038361072540283,4.638978004455566,77.9787368774414,2.877657413482666,7.735584735870361
11,,587,32.9375114440918,,,,,
12,483.7265319824219,636,,1.7885675430297852,4.6005682945251465,76.10167694091797,2.852238655090332,7.676854133605957
12,,636,32.177001953125,,,,,
13,549.0986938476562,685,,1.8335609436035156,4.741678714752197,73.38610076904297,2.869499683380127,7.7342095375061035
13,,685,32.70363998413086,,,,,
14,581.254638671875,734,,1.864155888557434,4.841809272766113,71.72447967529297,2.8499252796173096,7.686755657196045
14,,734,31.043684005737305,,,,,
15,630.9583740234375,783,,1.8520219326019287,4.816805362701416,69.38155364990234,2.7872707843780518,7.489889144897461
15,,783,27.906997680664062,,,,,
16,724.6875610351562,832,,1.9216094017028809,5.034622669219971,67.20367431640625,2.8274924755096436,7.60243558883667
16,,832,24.45281982421875,,,,,
17,746.4986572265625,881,,1.903768539428711,4.987971782684326,66.07194519042969,2.797656774520874,7.523815155029297
17,,881,22.503726959228516,,,,,
18,848.8545532226562,930,,2.014648914337158,5.310849666595459,64.92890167236328,2.83270525932312,7.617386341094971
18,,930,19.8735294342041,,,,,
19,884.8963623046875,979,,2.0279319286346436,5.356263637542725,63.45769119262695,2.8078901767730713,7.533066272735596
19,,979,15.066853523254395,,,,,
20,929.4859619140625,1028,,2.058650016784668,5.435182094573975,62.51398468017578,2.8070476055145264,7.535628795623779
20,,1028,19.03984260559082,,,,,
21,983.9210815429688,1077,,2.0969178676605225,5.543579578399658,62.100257873535156,2.8219399452209473,7.579010963439941
21,,1077,15.349170684814453,,,,,
22,1068.1414794921875,1126,,2.1449012756347656,5.704236030578613,61.886104583740234,2.859372138977051,7.720952033996582
22,,1126,11.12442398071289,,,,,
23,1123.667724609375,1175,,2.17891001701355,5.795390605926514,61.634403228759766,2.9094409942626953,7.857856750488281
23,,1175,12.617719650268555,,,,,
24,1128.758056640625,1224,,2.198671579360962,5.85041618347168,60.862510681152344,2.901484727859497,7.842029571533203
24,,1224,10.621395111083984,,,,,
25,1119.5517578125,1273,,2.222784996032715,5.932106971740723,59.8609504699707,2.917131185531616,7.885429382324219
25,,1273,11.580714225769043,,,,,
26,1121.1947021484375,1322,,1.7594863176345825,4.539269924163818,50.0949821472168,2.7969775199890137,7.493714332580566
26,,1322,13.511744499206543,,,,,
27,1126.6800537109375,1371,,1.790448546409607,4.560244560241699,44.04436492919922,2.9370133876800537,7.80538272857666
27,,1371,11.707534790039062,,,,,
28,1186.254150390625,1420,,1.7900103330612183,4.533233165740967,41.480831146240234,2.981154441833496,7.8922119140625
28,,1420,11.520977973937988,,,,,
29,1204.9285888671875,1469,,1.7758686542510986,4.497771263122559,39.02311325073242,2.991708993911743,7.90474271774292
29,,1469,10.660009384155273,,,,,
30,1208.1121826171875,1518,,1.6911219358444214,4.283143997192383,36.942527770996094,2.894726276397705,7.684973239898682
30,,1518,10.442634582519531,,,,,
31,1225.8668212890625,1567,,1.6505722999572754,4.168578624725342,34.808956146240234,2.8643085956573486,7.602463245391846
31,,1567,9.619855880737305,,,,,
32,1272.510498046875,1616,,1.594721794128418,4.026064872741699,33.84063720703125,2.7825028896331787,7.40460729598999
32,,1616,8.595319747924805,,,,,
33,1258.8065185546875,1665,,1.5221168994903564,3.8616788387298584,31.914609909057617,2.615373134613037,7.053585529327393
33,,1665,7.444046497344971,,,,,
34,1266.5875244140625,1714,,1.493141770362854,3.795809745788574,30.68331527709961,2.5380139350891113,6.893709182739258
34,,1714,11.221467018127441,,,,,
35,1254.0107421875,1763,,1.4812312126159668,3.774810314178467,29.89855194091797,2.489684820175171,6.771927356719971
35,,1763,4.128175735473633,,,,,
36,1264.4329833984375,1812,,1.4708497524261475,3.7499983310699463,29.053970336914062,2.4756197929382324,6.740209102630615
36,,1812,4.093539237976074,,,,,
